,countyFIPS,County Name,State,stateFIPS,Population,"January Infection Rate (per 100,000)","January Mortality Rate (per 100,000)","February Infection Rate (per 100,000)","February Mortality Rate (per 100,000)","March Infection Rate (per 100,000)","March Mortality Rate (per 100,000)","April Infection Rate (per 100,000)","April Mortality Rate (per 100,000)","May Infection Rate (per 100,000)","May Mortality Rate (per 100,000)","June Infection Rate (per 100,000)","June Mortality Rate (per 100,000)","July Infection Rate (per 100,000)","July Mortality Rate (per 100,000)","August Infection Rate (per 100,000)","August Mortality Rate (per 100,000)","September Infection Rate (per 100,000)","September Mortality Rate (per 100,000)","October Infection Rate (per 100,000)","October Mortality Rate (per 100,000)","November Infection Rate (per 100,000)","November Mortality Rate (per 100,000)","December Infection Rate (per 100,000)","December Mortality Rate (per 100,000)",Predicted December Cases,"Predicted December Infection Rate (per 100,000)",Predicted December Deaths,"Predicted December Mortality Rate (per 100,000)","Cumulative Infection Rate (per 100,000)","Cumulative Mortality Rate (per 100,000)",% Unemployed,Median Household Income,Approximate Population Density,% African American,% Hispanic,% Asian American,% White American,% Native American and Alaska Native,% Native Hawaiian and Other Pacific Islander,Approx. % People with College or Associate's Degree per Year,Statewide Mask Requirement
0,01001,"Autauga County, AL",AL,1,55869,0.0,0.0,0.0,0.0,12.53,0.0,62.65,5.37,318.6,1.79,567.4,14.32,855.57,16.11,764.29,3.58,624.68,7.16,658.68,5.37,1111.53,19.69,2235.59,10.74,1434,2566.72,6,10.74,600.96,7.01,2.7,59338.0,93.98536160169209,20.11,2.99,1.17,76.26,0.48,0.1,4.72,Yes
1,01003,"Baldwin County, AL",AL,1,223234,0.0,0.0,0.0,0.0,8.51,0.0,69.43,1.34,51.07,2.69,175.6,0.45,1084.51,5.38,646.85,8.96,490.52,4.48,582.35,8.51,873.52,12.09,1762.72,24.19,4517,2023.44,62,27.77,478.76,5.67,2.7,57588.0,140.4163357279632,8.78,4.72,1.07,87.44,0.78,0.07,5.15,Yes
2,01005,"Barbour County, AL",AL,1,24686,0.0,0.0,0.0,0.0,0.0,0.0,157.98,4.05,506.36,0.0,652.19,0.0,1105.89,16.2,644.09,8.1,563.07,0.0,664.34,8.1,478.0,8.1,923.6,85.07,261,1057.28,24,97.22,474.63,10.8,3.8,34382.0,27.897817815151072,48.23,4.52,0.47,49.15,0.69,0.21,4.62,Yes
3,01007,"Bibb County, AL",AL,1,22394,0.0,0.0,0.0,0.0,13.4,0.0,174.15,0.0,147.36,4.47,424.22,0.0,861.84,4.47,852.91,26.79,491.2,8.93,933.29,22.33,1442.35,8.93,2456.02,111.64,631,2817.72,28,125.03,649.73,15.63,3.1,46064.0,35.969688878779905,21.27,2.78,0.21,76.77,0.46,0.12,4.29,Yes
4,01009,"Blount County, AL",AL,1,57826,0.0,0.0,0.0,0.0,8.65,0.0,55.34,0.0,43.23,1.73,252.48,0.0,966.69,3.46,899.25,13.83,591.43,6.92,769.55,17.29,1596.17,25.94,2538.65,31.13,1685,2913.91,20,34.59,643.45,8.36,2.7,50412.0,89.6799908086137,1.69,9.65,0.32,95.83,0.64,0.12,5.74,Yes
5,01011,"Bullock County, AL",AL,1,10101,0.0,0.0,0.0,0.0,19.8,0.0,108.9,0.0,1940.4,49.5,1544.4,49.5,712.8,19.8,1128.6,19.8,584.1,9.9,425.7,19.8,475.2,19.8,1247.4,9.9,144,1425.6,1,9.9,682.28,16.5,3.6,29267.0,16.218618038315984,70.26,8.55,0.21,26.62,0.83,0.76,3.92,Yes
6,01013,"Butler County, AL",AL,1,19448,0.0,0.0,0.0,0.0,5.14,0.0,267.38,5.14,1835.66,87.41,1012.96,46.28,750.72,46.28,581.04,5.14,262.24,15.43,539.9,5.14,802.14,5.14,1408.89,15.43,314,1614.56,3,15.43,622.17,19.28,3.6,37365.0,25.035246042608318,44.98,1.49,1.43,52.07,0.4,0.04,4.4,Yes
7,01015,"Calhoun County, AL",AL,1,113605,0.0,0.0,0.0,0.0,7.92,0.0,73.94,2.64,56.34,0.0,104.75,1.76,1033.41,3.52,983.23,23.77,882.0,7.04,1137.27,18.49,1381.1,49.29,2466.44,24.65,3217,2831.74,32,28.17,677.2,10.93,3.5,45400.0,187.50218827307597,21.31,4.06,0.9,75.1,0.53,0.11,5.86,Yes
8,01017,"Chambers County, AL",AL,1,33254,0.0,0.0,0.0,0.0,108.26,9.02,763.82,54.13,195.47,12.03,706.68,6.01,808.93,33.08,523.25,6.01,439.04,6.01,631.5,15.04,1172.79,9.02,1308.11,33.08,499,1500.57,12,36.09,554.82,15.29,2.9,39917.0,55.74585860325157,40.19,2.62,1.12,57.05,0.33,0.05,5.26,Yes
9,01019,"Cherokee County, AL",AL,1,26196,0.0,0.0,0.0,0.0,7.63,0.0,49.63,0.0,83.98,11.45,141.24,15.27,626.05,3.82,637.5,15.27,820.74,3.82,622.23,7.63,958.16,30.54,1278.82,0.0,384,1465.87,0,0.0,435.5,7.32,2.9,42132.0,47.30933259333246,4.1,1.71,0.39,93.18,0.69,0.03,5.17,Yes
10,01021,"Chilton County, AL",AL,1,44428,0.0,0.0,0.0,0.0,24.76,0.0,92.28,2.25,108.04,0.0,256.59,4.5,1091.65,6.75,1114.16,15.76,934.1,38.26,740.52,6.75,756.28,11.25,1233.46,36.01,629,1415.77,18,40.51,529.32,10.13,2.7,47547.0,64.12349778116804,10.34,8.18,0.49,87.06,0.56,0.17,4.02,Yes
11,01023,"Choctaw County, AL",AL,1,12589,0.0,0.0,0.0,0.0,23.83,0.0,317.74,0.0,873.78,63.55,309.79,31.77,667.25,0.0,397.17,0.0,206.53,0.0,341.57,0.0,254.19,7.94,476.61,71.49,68,540.15,10,79.43,322.37,14.56,4.7,39907.0,13.781119765370086,41.74,1.02,0.2,57.12,0.21,0.0,5.66,Yes
12,01025,"Clarke County, AL",AL,1,23622,0.0,0.0,0.0,0.0,0.0,0.0,135.47,4.23,474.13,4.23,512.23,12.7,960.97,16.93,2116.67,21.17,495.3,8.47,1206.5,4.23,863.6,8.47,2967.57,25.4,804,3403.61,6,25.4,811.04,8.82,5.8,40741.0,19.07370056363996,45.02,1.31,0.44,52.99,0.56,0.02,4.45,Yes
13,01027,"Clay County, AL",AL,1,13235,0.0,0.0,0.0,0.0,15.11,0.0,143.56,7.56,45.33,7.56,196.45,0.0,1095.58,22.67,1322.25,7.56,1654.7,22.67,1360.03,22.67,1118.25,90.67,1420.48,75.56,215,1624.48,11,83.11,697.64,21.41,3.0,39201.0,21.91375815996402,13.78,3.29,0.29,83.23,0.57,0.0,5.1,Yes
14,01029,"Cleburne County, AL",AL,1,14910,0.0,0.0,0.0,0.0,33.53,0.0,46.95,6.71,20.12,0.0,93.9,0.0,549.97,0.0,637.16,26.83,1354.8,0.0,1173.71,26.83,1307.85,33.53,1455.4,13.41,249,1670.02,2,13.41,556.12,8.94,3.2,46495.0,26.620155715306364,2.84,2.6,0.22,95.08,0.53,0.07,4.22,Yes
15,01031,"Coffee County, AL",AL,1,52342,0.0,0.0,0.0,0.0,0.0,0.0,212.07,0.0,236.9,1.91,233.08,1.91,682.05,5.73,712.62,0.0,584.62,0.0,901.76,11.46,1180.7,7.64,1780.6,43.94,1070,2044.25,26,49.67,543.7,6.05,2.9,55122.0,77.08884372072292,17.61,7.97,1.68,75.79,1.4,0.39,5.82,Yes
16,01033,"Colbert County, AL",AL,1,55241,0.0,0.0,0.0,0.0,7.24,0.0,45.26,3.62,276.97,0.0,343.95,5.43,1241.83,10.86,738.58,19.91,394.63,7.24,845.39,10.86,2072.74,18.1,2052.82,30.77,1302,2356.95,19,34.39,668.28,8.9,3.7,49055.0,93.21531879884012,16.22,3.24,0.68,80.45,0.69,0.07,5.19,Yes
17,01035,"Conecuh County, AL",AL,1,12067,0.0,0.0,0.0,0.0,0.0,0.0,74.58,0.0,265.19,8.29,1151.9,24.86,1582.83,49.72,944.73,8.29,439.21,0.0,323.2,16.57,919.86,8.29,1127.04,24.86,156,1292.78,3,24.86,569.04,11.74,4.0,32613.0,14.193917050011814,46.08,2.3,0.23,51.75,0.56,0.02,3.9,Yes
18,01037,"Coosa County, AL",AL,1,10663,0.0,0.0,0.0,0.0,37.51,0.0,234.46,9.38,93.78,0.0,150.05,0.0,384.51,9.38,365.75,9.38,365.75,0.0,450.15,0.0,1237.93,9.38,1162.9,28.13,142,1331.71,3,28.13,373.57,5.47,3.0,42423.0,16.381344553503208,30.89,2.63,0.17,66.75,0.61,0.17,5.68,Yes
19,01039,"Covington County, AL",AL,1,37049,0.0,0.0,0.0,0.0,5.4,0.0,91.77,2.7,118.76,0.0,636.99,16.19,1238.9,37.79,866.42,13.5,863.72,5.4,1268.59,5.4,858.32,10.8,1603.28,10.8,682,1840.81,4,10.8,629.35,8.55,3.4,40203.0,35.954141421364234,12.52,1.85,0.5,84.51,0.76,0.01,5.8,Yes
20,01041,"Crenshaw County, AL",AL,1,13772,0.0,0.0,0.0,0.0,7.26,0.0,130.7,0.0,406.62,21.78,370.32,0.0,1161.78,7.26,1350.57,167.01,515.54,21.78,559.11,0.0,726.11,0.0,1343.31,43.57,212,1539.36,6,43.57,547.61,21.78,2.8,39057.0,22.620176517659026,23.88,2.42,1.1,72.17,0.66,0.04,4.22,Yes
