countyFIPS,county_name,mask_mandate
20001,"Allen County, KS",1
20003,"Anderson County, KS",
20005,"Atchison County, KS",1
20007,"Barber County, KS",
20009,"Barton County, KS",
20011,"Bourbon County, KS",1
20013,"Brown County, KS",
20015,"Butler County, KS",
20017,"Chase County, KS",
20019,"Chautauqua County, KS",
20021,"Cherokee County, KS",
20023,"Cheyenne County, KS",
20025,"Clark County, KS",
20027,"Clay County, KS",
20029,"Cloud County, KS",
20031,"Coffey County, KS",
20033,"Comanche County, KS",
20035,"Cowley County, KS",
20037,"Crawford County, KS",1
20039,"Decatur County, KS",
20041,"Dickinson County, KS",1
20043,"Doniphan County, KS",
20045,"Douglas County, KS",1
20047,"Edwards County, KS",
20049,"Elk County, KS",
20051,"Ellis County, KS",
20053,"Ellsworth County, KS",
20055,"Finney County, KS",
20057,"Ford County, KS",
20059,"Franklin County, KS",1
20061,"Geary County, KS",1
20063,"Gove County, KS",1
20065,"Graham County, KS",
20067,"Grant County, KS",
20069,"Gray County, KS",
20071,"Greeley County, KS",
20073,"Greenwood County, KS",
20075,"Hamilton County, KS",
20077,"Harper County, KS",
20079,"Harvey County, KS",1
20081,"Haskell County, KS",
20083,"Hodgeman County, KS",
20085,"Jackson County, KS",
20087,"Jefferson County, KS",
20089,"Jewell County, KS",1
20091,"Johnson County, KS",1
20093,"Kearny County, KS",
20095,"Kingman County, KS",
20097,"Kiowa County, KS",
20099,"Labette County, KS",
20101,"Lane County, KS",
20103,"Leavenworth County, KS",
20105,"Lincoln County, KS",
20107,"Linn County, KS",
20109,"Logan County, KS",
20111,"Lyon County, KS",
20113,"McPherson County, KS",
20115,"Marion County, KS",
20117,"Marshall County, KS",
20119,"Meade County, KS",
20121,"Miami County, KS",
20123,"Mitchell County, KS",1
20125,"Montgomery County, KS",1
20127,"Morris County, KS",1
20129,"Morton County, KS",
20131,"Nemaha County, KS",
20133,"Neosho County, KS",
20135,"Ness County, KS",
20137,"Norton County, KS",
20139,"Osage County, KS",
20141,"Osborne County, KS",
20143,"Ottawa County, KS",
20145,"Pawnee County, KS",
20147,"Phillips County, KS",
20149,"Pottawatomie County, KS",
20151,"Pratt County, KS",1
20153,"Rawlins County, KS",
20155,"Reno County, KS",1
20157,"Republic County, KS",1
20159,"Rice County, KS",
20161,"Riley County, KS",
20163,"Rooks County, KS",
20165,"Rush County, KS",
20167,"Russell County, KS",
20169,"Saline County, KS",1
20171,"Scott County, KS",1
20173,"Sedgwick County, KS",1
20175,"Seward County, KS",
20177,"Shawnee County, KS",1
20179,"Sheridan County, KS",
20181,"Sherman County, KS",
20183,"Smith County, KS",
20185,"Stafford County, KS",
20187,"Stanton County, KS",1
20189,"Stevens County, KS",
20191,"Sumner County, KS",
20193,"Thomas County, KS",
20195,"Trego County, KS",
20197,"Wabaunsee County, KS",
20199,"Wallace County, KS",
20201,"Washington County, KS",
20203,"Wichita County, KS",
20205,"Wilson County, KS",
20207,"Woodson County, KS",
20209,"Wyandotte County, KS",1
