state,mask_sum,date,source
AK,2,jun,https://www.alaskapublic.org/2021/03/23/after-9-months-anchorage-eases-mask-mandate/
AZ,2,jun,https://kvoa.com/coronavirus-coverage/2021/03/25/tucson-mayor-has-no-intention-of-removing-mask-mandate-after-state-lifts-all-covid-19-mitigation-measures/
FL,2,apr,https://www.miaminewtimes.com/news/covid-19-are-masks-required-in-miami-florida-11981729
GA,2,jul,https://www.wtoc.com/2020/07/01/first-day-mask-mandate-city-savannah/
IA,2,jul,https://cbs2iowa.com/news/local/iowa-city-face-mask-requirement-extended-until-january-15th
ID,2,jul,https://www.cityofboise.org/news/mayor/2020/jul/mayor-mclean-to-sign-public-health-order-mandating-face-masks/
KS,2,jul,https://www.cdc.gov/mmwr/volumes/69/wr/mm6947e2.htm
MO,2,jul,https://www.news-leader.com/story/news/politics/2021/04/15/covid-19-updates-where-face-masks-required-mandate-springfield-missouri-mo-vaccine/7189472002/
ND,2,nov,https://www.usnews.com/news/best-states/north-dakota/articles/2020-11-13/jamestown-approves-coronavirus-mask-mandate
NE,2,aug,https://omaha.com/news/local/govt-and-politics/got-questions-about-omahas-new-mask-mandate-weve-got-answers/article_c94f215d-2074-59cf-b1eb-352ee1b61b7d.html
NH,2,may,https://www.nbcboston.com/news/local/new-hampshire-becomes-first-new-england-state-to-lift-mask-mandate/2356712/
OK,2,jul,https://www.okc.gov/Home/Components/News/News/3549/18
SC,2,jun,https://apnews.com/article/50fafe19d939418fd71f192a0efc2e10
TN,2,jul,https://www.wsmv.com/news/sumner_county/sumner-montgomery-and-williamson-counties-to-mandate-face-masks/article_71fb5130-bfc4-11ea-a863-b3f33410ec89.html
UT,2,jun,https://www.abc4.com/news/local-news/state-approves-face-covering-requirements-for-salt-lake-summit-counties/
WY,2,nov,https://www.wyomingnews.com/coronavirus/laramie-county-mask-mandate-extended-through-jan-4/article_957657c4-1505-5bab-bc4f-13dfe9a73cda.html
AL,1,jul,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiCutHsw4bwAhVPgp4KHU8gDPwQFjABegQIARAD&url=https%3A%2F%2Fwww.alabamapublichealth.gov%2Fcovid19%2Fassets%2Fcov-sah-mask-faq.pdf&usg=AOvVaw3KSfPk1crdxIGISNOX-MEK
AR,1,jul,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwj3-sKQxIbwAhWEt54KHeZYALUQFjABegQIBBAD&url=https%3A%2F%2Fwww.arcounties.org%2Fmedia%2Fnews%2Fhutchinson-orders-masks-worn-in-state-mandate-begins-jul-20%2F&usg=AOvVaw1GNrsZpLrQTC_-X5qrYE8G
CA,1,jun,https://www.latimes.com/california/story/2020-06-18/california-mandatory-face-masks-statewide-order-coronavirus-gavin-newsom
CO,1,jul,https://coloradosun.com/2020/07/16/colorado-statewide-mask-order-jared-polis/
CT,1,apr,https://www.courant.com/coronavirus/hc-news-coronavirus-clb-face-mask-executive-order-connecticut-20200420-a7yfuio5nzebll3xwrg2ys3fbi-story.html
DE,1,apr,https://news.delaware.gov/2020/12/03/governor-carney-announces-stay-at-home-advisory-universal-indoor-mask-order/
HI,1,apr,https://governor.hawaii.gov/featured/statewide-mask-mandate-clarified-in-latest-proclamation/
IL,1,may,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiA55qZxYbwAhXCvJ4KHYmvB4gQFjAAegQIAxAD&url=https%3A%2F%2Fwww.nbcchicago.com%2Fnews%2Flocal%2Feverything-you-need-to-know-about-the-mask-mandate-beginning-in-illinois-friday%2F2263795%2F&usg=AOvVaw1YLz5jkCkSWPFK46GsYaG5
IN,1,jul,https://www.indystar.com/story/news/health/2020/07/22/indiana-coronavirus-governor-announces-mandatory-face-masks/5488294002/
KY,1,jul,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjryoayxYbwAhXSi54KHSBxA8kQFjAAegQIBRAD&url=https%3A%2F%2Fwww.14news.com%2F2020%2F07%2F11%2Fmandatory-mask-mandate-officially-goes-into-effect-throughout-kentucky%2F&usg=AOvVaw0QPIHZ0BfNffP9apCh0cLa
LA,1,jul,https://gov.louisiana.gov/index.cfm/newsroom/detail/2591
MA,1,may,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwio6v_GxYbwAhWI9Z4KHe92ByEQFjAAegQIBBAD&url=https%3A%2F%2Fwww.nbcboston.com%2Fnews%2Flocal%2Fwhat-to-know-about-massachusetts-mandatory-mask-order%2F2117445%2F&usg=AOvVaw3QylBeHKqE2vJfCJVzgyM_
MD,1,apr,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwi_9tfUxYbwAhVVnp4KHYt2BwoQFjABegQIBRAD&url=https%3A%2F%2Fgovernor.maryland.gov%2Fwp-content%2Fuploads%2F2020%2F07%2FGatherings-10th-AMENDED-7.29.20.pdf&usg=AOvVaw2_saq7vebiEJ0VFK1kIO21
ME,1,may,https://www.pressherald.com/2020/04/30/governors-order-will-require-mainers-to-wear-face-masks-in-public-settings/
MI,1,jul,https://www.usatoday.com/story/news/factcheck/2021/03/15/fact-check-no-executive-order-but-michigan-has-mask-mandate/4663942001/
MN,1,jul,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwigpKK5xobwAhXYi54KHfv4DwUQFjABegQIBBAD&url=https%3A%2F%2Fwww.mprnews.org%2Fstory%2F2020%2F07%2F22%2Fminnesotas-mask-mandate-what-you-need-to-know&usg=AOvVaw38dl0ioxHIMQVcNswuCmhY
MS,1,aug,https://www.forbes.com/sites/nicholasreimann/2020/09/30/mississippi-becomes-first-state-to-lift-mask-mandate/?sh=16d8c2667f13
MT,1,jul,https://dphhs.mt.gov/aboutus/news/2020/directiverequiringfacecoverings
NC,1,jun,https://www.northcarolinahealthnews.org/2020/06/24/coronavirus-today-jun-24/
NJ,1,apr,https://www.nj.com/coronavirus/2020/07/nj-will-now-require-people-wear-masks-outside-to-battle-coronavirus-murphy-says.html
NM,1,jul,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwic9PDBx4bwAhVEj54KHRs8AzIQFjAAegQIAxAD&url=https%3A%2F%2Fwww.abqjournal.com%2F1471726%2Flujan-grisham-to-deliver-virus-briefing.html&usg=AOvVaw362Ll9VG5yxgtiWgHIkL4F
NV,1,jun,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiRyZbIx4bwAhUWgp4KHflhB9oQFjAAegQIAxAD&url=https%3A%2F%2Fgov.nv.gov%2FNews%2FPress%2F2020%2FGov__Sisolak_announces_mandatory_face_covering_policy_in_public%2F&usg=AOvVaw3nxIfzC2stF_OxXhbnozQ5
NY,1,apr,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjkw7jOx4bwAhXN8p4KHVdYCk8QFjABegQIBBAD&url=https%3A%2F%2Fwww.governor.ny.gov%2Fnews%2Famid-ongoing-covid-19-pandemic-governor-cuomo-issues-executive-order-requiring-all-people-new&usg=AOvVaw1mSAKHS_IHBOpxDG2t7Way
OH,1,jul,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwijjp3Ux4bwAhXHpJ4KHTrqCXUQFjAAegQIAxAD&url=https%3A%2F%2Fgovernor.ohio.gov%2Fwps%2Fportal%2Fgov%2Fgovernor%2Fmedia%2Fnews-and-media%2Fcovid19-update-07222020&usg=AOvVaw1_8AM3Ni8cZOzjXKGMrwN5
OR,1,jul,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjz6dDZx4bwAhVQuZ4KHcUYAf4QFjABegQIBBAD&url=https%3A%2F%2Fwww.opb.org%2Fnews%2Farticle%2Fgov-kate-brown-expand-mask-mandate-throughout-oregon%2F&usg=AOvVaw1wIyW1X3YDGHLaVb19gwN4
PA,1,apr,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwj02uvix4bwAhWP4J4KHUoQCrcQFjAAegQIBBAD&url=https%3A%2F%2Fwww.pennlive.com%2Fcoronavirus%2F2020%2F04%2Fface-masks-become-mandatory-in-pennsylvania-heres-what-you-need-to-know.html&usg=AOvVaw1iJM3lSH3UBoyeCHPSx0fg
RI,1,may,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjK4fjpx4bwAhUJsZ4KHXtmDDgQFjAAegQIBRAD&url=https%3A%2F%2Fwww.necn.com%2Fnews%2Fcoronavirus%2Fwith-reopening-looming-ri-gov-to-provide-update-on-coronavirus-response%2F2268092%2F&usg=AOvVaw0KVLU8zYBhLfdpTVT9z-Gj
TX,1,jul,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjunYnwx4bwAhXYu54KHYkQC30QFjAAegQIBRAD&url=https%3A%2F%2Fwww.texastribune.org%2F2020%2F07%2F02%2Ftexas-mask-order-greg-abbott-coronavirus%2F&usg=AOvVaw14PfhK6Gh0bdsyiToglryY
VA,1,may,https://www.nbc12.com/2020/05/26/gov-northam-announces-statewide-mask-mandate-begin-friday/
VT,1,aug,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiR3YKIyIbwAhWGs54KHZrYDyYQFjABegQIBBAD&url=https%3A%2F%2Faccd.vermont.gov%2Fcovid-19%2Frestart%2Fmasks&usg=AOvVaw2jWPKVNwt3_9NuPelA2JtA
WA,1,jun,https://www.seattletimes.com/seattle-news/politics/inslee-orders-face-coverings-to-be-worn-in-public-to-help-stem-spread-of-coronavirus/?utm_medium=notification&utm_source=pushly&utm_campaign=578089
WI,1,aug,https://evers.wi.gov/Documents/COVID19/EmO01-FaceCoverings.pdf
WV,1,jul,https://www.wsaz.com/2020/07/06/mask-mandate-wva-governor-issues-order/
SD,0,,
