"","county_name","state","countyFIPS","stateFIPS","month","mon","treatment","mask_requirement","infection_rate","population","pct_unemployed","median_hh_income","population_density","african_american","hispanic","asian_american","white","native_alaskan","hawaiian_pacific","pct_college_associate","Civilian Labor Force","Unemployed","Unemp_Rate","treat_date","populationsq","population_densitysq","log_population","log_popdensity","A_rev","A","Y","infection_rate_bin"
"1","Oglala Lakota County, SD","SD","46102",46,"jan",1,0,"No",0,14177,9.7,31662,6.77106038490998,0.41,4.08,0.13,5.35,92.38,0.06,4.96,3512,275,7.8,0,200987329,45.8472587360973,9.55937621211763,1.91265770463092,1,0,0,0
"2","Oglala Lakota County, SD","SD","46102",46,"feb",2,0,"No",0,14177,9.7,31662,6.77106038490998,0.41,4.08,0.13,5.35,92.38,0.06,4.96,3549,260,7.3,0,200987329,45.8472587360973,9.55937621211763,1.91265770463092,1,0,0,0
"3","Oglala Lakota County, SD","SD","46102",46,"mar",3,0,"No",0,14177,9.7,31662,6.77106038490998,0.41,4.08,0.13,5.35,92.38,0.06,4.96,3529,272,7.7,0,200987329,45.8472587360973,9.55937621211763,1.91265770463092,1,0,0,0
"4","Oglala Lakota County, SD","SD","46102",46,"apr",4,0,"No",7.05,14177,9.7,31662,6.77106038490998,0.41,4.08,0.13,5.35,92.38,0.06,4.96,3575,304,8.5,0,200987329,45.8472587360973,9.55937621211763,1.91265770463092,1,0,7.05,0
"5","Oglala Lakota County, SD","SD","46102",46,"may",5,0,"No",176.34,14177,9.7,31662,6.77106038490998,0.41,4.08,0.13,5.35,92.38,0.06,4.96,3490,276,7.9,0,200987329,45.8472587360973,9.55937621211763,1.91265770463092,1,0,176.34,1
"6","Oglala Lakota County, SD","SD","46102",46,"jun",6,0,"No",416.17,14177,9.7,31662,6.77106038490998,0.41,4.08,0.13,5.35,92.38,0.06,4.96,3618,396,10.9,0,200987329,45.8472587360973,9.55937621211763,1.91265770463092,1,0,416.17,1
"7","Oglala Lakota County, SD","SD","46102",46,"jul",7,0,"No",395.01,14177,9.7,31662,6.77106038490998,0.41,4.08,0.13,5.35,92.38,0.06,4.96,3740,569,15.2,0,200987329,45.8472587360973,9.55937621211763,1.91265770463092,1,0,395.01,1
"8","Oglala Lakota County, SD","SD","46102",46,"aug",8,0,"No",232.77,14177,9.7,31662,6.77106038490998,0.41,4.08,0.13,5.35,92.38,0.06,4.96,3963,561,14.2,0,200987329,45.8472587360973,9.55937621211763,1.91265770463092,1,0,232.77,1
"9","Oglala Lakota County, SD","SD","46102",46,"sep",9,0,"No",853.5,14177,9.7,31662,6.77106038490998,0.41,4.08,0.13,5.35,92.38,0.06,4.96,3836,365,9.5,0,200987329,45.8472587360973,9.55937621211763,1.91265770463092,1,0,853.5,1
"10","Oglala Lakota County, SD","SD","46102",46,"oct",10,0,"No",5128.02,14177,9.7,31662,6.77106038490998,0.41,4.08,0.13,5.35,92.38,0.06,4.96,3811,395,10.4,0,200987329,45.8472587360973,9.55937621211763,1.91265770463092,1,0,5128.02,1
"11","Oglala Lakota County, SD","SD","46102",46,"nov",11,0,"No",4359.17,14177,9.7,31662,6.77106038490998,0.41,4.08,0.13,5.35,92.38,0.06,4.96,3721,413,11.1,0,200987329,45.8472587360973,9.55937621211763,1.91265770463092,1,0,4359.17,1
"12","Oglala Lakota County, SD","SD","46102",46,"dec",12,0,"No",1678.78,14177,9.7,31662,6.77106038490998,0.41,4.08,0.13,5.35,92.38,0.06,4.96,3786,393,10.4,0,200987329,45.8472587360973,9.55937621211763,1.91265770463092,1,0,1678.78,1
"13","Yankton County, SD","SD","46135",46,"jan",1,0,"No",0,22814,2.9,56535,43.7751926280766,2.17,5.1,0.86,91.85,3.32,0.05,5.16,11750,321,2.7,0,520478596,1916.26748962521,10.0351296615878,3.77906727857518,1,0,0,0
"14","Yankton County, SD","SD","46135",46,"feb",2,0,"No",0,22814,2.9,56535,43.7751926280766,2.17,5.1,0.86,91.85,3.32,0.05,5.16,11852,332,2.8,0,520478596,1916.26748962521,10.0351296615878,3.77906727857518,1,0,0,0
"15","Yankton County, SD","SD","46135",46,"mar",3,0,"No",17.53,22814,2.9,56535,43.7751926280766,2.17,5.1,0.86,91.85,3.32,0.05,5.16,11777,356,3,0,520478596,1916.26748962521,10.0351296615878,3.77906727857518,1,0,17.53,0
"16","Yankton County, SD","SD","46135",46,"apr",4,0,"No",96.43,22814,2.9,56535,43.7751926280766,2.17,5.1,0.86,91.85,3.32,0.05,5.16,12090,1300,10.8,0,520478596,1916.26748962521,10.0351296615878,3.77906727857518,1,0,96.43,0
"17","Yankton County, SD","SD","46135",46,"may",5,0,"No",109.58,22814,2.9,56535,43.7751926280766,2.17,5.1,0.86,91.85,3.32,0.05,5.16,11837,774,6.5,0,520478596,1916.26748962521,10.0351296615878,3.77906727857518,1,0,109.58,0
"18","Yankton County, SD","SD","46135",46,"jun",6,0,"No",113.97,22814,2.9,56535,43.7751926280766,2.17,5.1,0.86,91.85,3.32,0.05,5.16,11838,619,5.2,0,520478596,1916.26748962521,10.0351296615878,3.77906727857518,1,0,113.97,0
"19","Yankton County, SD","SD","46135",46,"jul",7,0,"No",105.2,22814,2.9,56535,43.7751926280766,2.17,5.1,0.86,91.85,3.32,0.05,5.16,11744,636,5.4,0,520478596,1916.26748962521,10.0351296615878,3.77906727857518,1,0,105.2,0
"20","Yankton County, SD","SD","46135",46,"aug",8,0,"No",569.83,22814,2.9,56535,43.7751926280766,2.17,5.1,0.86,91.85,3.32,0.05,5.16,11495,520,4.5,0,520478596,1916.26748962521,10.0351296615878,3.77906727857518,1,0,569.83,1
"21","Yankton County, SD","SD","46135",46,"sep",9,0,"No",894.19,22814,2.9,56535,43.7751926280766,2.17,5.1,0.86,91.85,3.32,0.05,5.16,11836,432,3.6,0,520478596,1916.26748962521,10.0351296615878,3.77906727857518,1,0,894.19,1
"22","Yankton County, SD","SD","46135",46,"oct",10,0,"No",2174.1,22814,2.9,56535,43.7751926280766,2.17,5.1,0.86,91.85,3.32,0.05,5.16,11837,405,3.4,0,520478596,1916.26748962521,10.0351296615878,3.77906727857518,1,0,2174.1,1
"23","Yankton County, SD","SD","46135",46,"nov",11,0,"No",3752.08,22814,2.9,56535,43.7751926280766,2.17,5.1,0.86,91.85,3.32,0.05,5.16,11370,380,3.3,0,520478596,1916.26748962521,10.0351296615878,3.77906727857518,1,0,3752.08,1
"24","Yankton County, SD","SD","46135",46,"dec",12,0,"No",2608.05,22814,2.9,56535,43.7751926280766,2.17,5.1,0.86,91.85,3.32,0.05,5.16,11705,413,3.5,0,520478596,1916.26748962521,10.0351296615878,3.77906727857518,1,0,2608.05,1
"25","Mellette County, SD","SD","46095",46,"jan",1,0,"No",0,2061,5.7,32780,1.57654953114143,0.49,3.49,0.24,37.8,55.17,0,4.6,732,43,5.9,0,4247721,2.48550842414226,7.63094658089046,0.455238617930888,1,0,0,0
